place_type,place_name,description
관광특구,강남 MICE 관광특구,비즈니스와 여가가 조화롭게 어우러지는 강남은 세계적인 컨벤션과 다채로운 문화가 함께하는 중심지
관광특구,동대문 관광특구,패션 아이콘과 전통 시장이 공존하는 동대문은 야경이 아름다운 쇼핑 천국
관광특구,명동 관광특구,"쇼핑과 맛집, 거리 공연이 가득한 명동은 서울의 대표적인 관광명소"
관광특구,이태원 관광특구,다양한 문화가 어우러진 이태원은 글로벌 음식과 독특한 상점이 즐비한 국제적인 거리
관광특구,잠실 관광특구,롯데월드와 올림픽공원 등 다양한 엔터테인먼트와 여가 시설이 있는 잠실은 활기찬 지역
관광특구,종로·청계 관광특구,전통과 현대가 공존하는 종로와 청계천은 문화재와 예술이 가득한 역사적인 거리
관광특구,홍대 관광특구,젊음과 창의력이 넘치는 홍대는 다양한 공연과 독립 상점들이 매력적인 지역
고궁·문화유산,경복궁,"조선 왕조의 정궁으로, 아름다운 정원과 역사적인 건축물이 있는 문화유산"
고궁·문화유산,광화문·덕수궁,역사적인 궁궐과 현대적인 광장이 어우러진 서울의 대표적인 관광 명소
고궁·문화유산,보신각,"서울의 상징적인 종각으로, 매년 새해를 맞이하는 타종 행사로 유명한 장소"
고궁·문화유산,서울 암사동 유적,"선사시대의 유적으로, 고대인의 삶을 엿볼 수 있는 중요한 역사적 유적지"
고궁·문화유산,창덕궁·종묘,"유네스코 세계문화유산으로, 조선 왕조의 궁궐과 왕의 신위가 모셔진 성역"
인구밀집지역,가산디지털단지역,"IT와 디지털 산업의 중심지로, 현대적인 비즈니스 환경이 조성된 지역"
인구밀집지역,강남역,"서울의 금융과 쇼핑 중심지로, 다양한 음식점과 문화시설이 밀집한 지역"
인구밀집지역,건대입구역,대학가와 쇼핑몰이 인접해 있어 젊은이들이 많이 찾는 활기찬 지역
인구밀집지역,고덕역,주거지와 상업시설이 조화롭게 어우러진 현대적인 주거 지역
인구밀집지역,고속터미널역,"교통의 요지로, 전국 각지로의 이동이 편리한 대규모 터미널"
인구밀집지역,교대역,법조타운과 인접해 있어 법률 관련 기관이 밀집한 지역
인구밀집지역,구로디지털단지역,"IT 기업과 스타트업이 많은 디지털 산업 중심지로, 혁신적인 비즈니스 환경이 조성된 지역"
인구밀집지역,구로역,다양한 산업과 상업시설이 밀집한 구로의 중심역
인구밀집지역,군자역,한강변과 가까워 아름다운 경치와 함께하는 주거지
인구밀집지역,남구로역,"대중교통과 상업시설이 잘 갖춰진 지역으로, 편리한 이동이 가능한 역"
인구밀집지역,대림역,대림동과 인접해 있어 다양한 먹거리와 쇼핑이 즐비한 지역
